cui;cueanexo;cue;anexo;dom_edific;otras_entr;dom_establ;nombre_est;nomb_abrev;telefono;nivtip;tipest;sector;depfun;de;comunas;barrio;areaprogra;point_x;point_y;longitude;latitude
1508;20213400;202134;0;Manuel Ugarte 2815;;Manuel Ugarte 2815;Inst. Superior Educativo Salud de Ciencias;I Sup Educ Salud de Ciencias;4783-0586;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;99773.6;107888;-58.4658;-34.5582
1034;20056500;200565;0;Esmeralda 759;;Esmeralda 759;Inst. Colegio de Ntra. Señora;I Colegio de Nuestra Señora;4393-5795/7489;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;1;1;SAN NICOLAS;HTAL. DR. C. ARGERICH;107813;103286;-58.3781;-34.5996
1042;20113400;201134;0;Juncal 1160;;Juncal 1160;Inst. Privado Mallinckrodt;I Priv Mallinckrodt;4811-2962;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107294;104029;-58.3838;-34.5929
1035;20069100;200691;0;Viamonte 1892;;Viamonte 1892;Inst. Paula Montal;I Paula Montal;4813-5691;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;1;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;106355;103138;-58.394;-34.601
1047;20035400;200354;0;Larrea 1254;;Larrea 1254;Inst. San Miguel;I San Miguel;4826-7026;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;1;2;RECOLETA;HTAL. J.A.FERNANDEZ;105769;104047;-58.4004;-34.5928
1316;20126600;201266;0;Avda. Gaona 1734;;Avda. Gaona 1734;Inst. San Pedro Nolasco;I San Pedro Nolasco;4581-1968;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. T. ALVAREZ;100968;102004;-58.4527;-34.6112
1329;20127100;201271;0;José Juan Biedma 924;;José Juan Biedma 924;Inst. Profesional San José;I Prof San José;4581-9173;MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. T. ALVAREZ;100732;101688;-58.4553;-34.614
1583;20077700;200777;0;Bahía Blanca 363;;Bahía Blanca 363;Inst. Adelia Maria Harilaos de Olmos;I A M Harilaos de Olmos;4672-7090;IniCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;12;10;FLORESTA;HTAL. DR. T. ALVAREZ;98291.2;99948.9;-58.4819;-34.6297
1305;20134500;201345;0;Yatay 240;;Yatay 240;Escuela Técnica Ort 01;ET Ort 01;4958-9000/9090;MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;5;ALMAGRO;HTAL. DR. C.G. DURAND;103130;102142;-58.4292;-34.61
1310;20075500;200755;0;Avda. Acoyte 75;;Avda. Acoyte 75;Inst. Carlos Pellegrini;I Carlos Pellegrini;4901-3297;MedCom - MedAdu;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. C.G. DURAND;102435;101321;-58.4367;-34.6174
1308;20008700;200087;0;Acevedo 276;;Acevedo 276;Inst. Dr. Herzl;I Dr Herzl;4855-4062 4854-9745;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;101936;103340;-58.4422;-34.5992
1311;20075300;200753;0;Yerbal 65;;Yerbal 65;Fundación Salottiana (Summa);Fund Salottiana (Summa);4901-7118;IniCom - PriCom - MedCom - SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. C.G. DURAND;102917;101630;-58.4315;-34.6146
1327;20072800;200728;0;Gurruchaga 338;Serrano 341;Serrano 341;Escuela Secundaria Integral Scholem Aleijem;ESI Scholem Aleijem;4855-4200;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;101816;103406;-58.4435;-34.5986
2143;20174400;201744;0;Antonio Machado 628;;Antonio Machado 628;Inst. del Profesorado en Enfermeria Padre Luis Tezza;I Prof en Enfermería Padre L Tezza;4854-0032;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. C.G. DURAND;102084;102504;-58.4406;-34.6067
1428;20022400;200224;0;Serrano 557;;Serrano 557;Inst. Integral Mundo Nuevo;I Integral Mundo Nuevo;4854-2019;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;101981;103693;-58.4417;-34.596
1333;20127000;201270;0;Nicasio Oroño 942;;Nicasio Oroño 942;Inst. Orsino;I Orsino;4581-8001;IniCom - PriCom - MedCom - MedAdu - SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. T. ALVAREZ;100807;101719;-58.4545;-34.6138
1305;20113900;201139;0;Yatay 240;;Yatay 240;Inst. de Tecnología Ort 01;I de Tecnología Ort 01;4958-4411/9000;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;5;ALMAGRO;HTAL. DR. C.G. DURAND;103130;102142;-58.4292;-34.61
1335;20134600;201346;0;Río de Janeiro 663;;Río de Janeiro 663;Inst. Sudamericano Modelo;I Sudamericano Modelo;4982-4163;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;5;ALMAGRO;HTAL. DR. C.G. DURAND;103016;102391;-58.4304;-34.6077
1330;20140300;201403;0;Lavalleja 180;;Lavalleja 180;Inst. Sarmiento;I Sarmiento;4854-4873;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;102414;102979;-58.437;-34.6024
1324;20046400;200464;0;Dr. Juan Felipe Aranguren 723;;Dr. Juan Felipe Aranguren 723;Colegio Integral Caballito;Col Integral Caballito;4901-0843 4432-7360;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. C.G. DURAND;101881;101634;-58.4428;-34.6145
1179;20181200;201812;0;Lavalleja 250;;Lavalleja 250;Inst. Educativo Alas;I Educ Alas;4857-1428;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;2;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;102496;103045;-58.4361;-34.6018
1275;20033400;200334;0;Salta 2290;;Salta 2290;Escuela Parroquial Sta. Elisa;Esc Parroquial Sta. Elisa;4305-3613;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;5;4;BARRACAS;HTAL. J.M. PENNA;107419;99483.7;-58.3824;-34.6339
1274;20168800;201688;0;Achala 3679;;Achala 3679;Inst. Privado Inmaculada Concepción;I Priv Inmaculada Concepción;4911-1773/1345;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;5;4;NUEVA POMPEYA;HTAL. J.M. PENNA;104391;98564.7;-58.4154;-34.6422
1271;20004900;200049;0;Isabel La Católica 221;;Isabel La Católica 221;Inst. Parroquial Sta. Lucia;I P Sta Lucía;4362-6061;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;5;4;BARRACAS;HTAL. DR. C. ARGERICH;108159;99419.7;-58.3743;-34.6345
1263;20077000;200770;0;Avda. Manuel Montes de Oca 140;;Avda. Manuel Montes de Oca 140;Inst. Vitra;I Vitra;4307-6813/7252;IniEsp - PriEsp - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;5;4;BARRACAS;HTAL. DR. C. ARGERICH;107922;99941.5;-58.3769;-34.6298
1797;20077100;200771;0;Avda. Entre Ríos 1956;;Avda. Entre Ríos 1956;Inst. Los Angeles;I Los Angeles;4305-7399;PriEsp - MedEsp;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;5;1;CONSTITUCION;HTAL. J.M. PENNA;106673;99805;-58.3905;-34.631
1272;20077300;200773;0;Ituzaingó 831;;Ituzaingó 831;Inst. Educativo Barracas;I Educ Barracas;4307-1275;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;5;4;BARRACAS;HTAL. DR. C. ARGERICH;108052;99752.7;-58.3755;-34.6315
1269;20175300;201753;0;Gral. Hornos 882;;Gral. Hornos 882;Inst. Tiempo Educativo;I Tiempo Educativo;4307-7214 4301-3896;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;5;4;BARRACAS;HTAL. DR. C. ARGERICH;107965;99140.4;-58.3764;-34.637
1234;20180900;201809;0;Avda. Brasil 825;;Avda. Brasil 825;El Solcito de Catalina;El Solcito de Catalina;4300-4272;IniCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;3;1;CONSTITUCION;HTAL. DR. C. ARGERICH;107949;100318;-58.3766;-34.6264
1277;20095600;200956;0;24 de Noviembre 827;;24 de Noviembre 827;Inst. Mater Ter Admirabilis;I Mater Ter Admirabilis;4931-0608/5980;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;3;SAN CRISTOBAL;HTAL. DR. J.M. RAMOS MEJÍA;104804;100951;-58.4109;-34.6207
352;20007800;200078;0;Yapeyú 197;;Yapeyú 197;Inst. Pío IX;I Pío IX;4981-1337/1985;MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;5;ALMAGRO;HTAL. DR. C.G. DURAND;103805;101643;-58.4218;-34.6144
1292;20065800;200658;0;Hipólito Yrigoyen 3900;;Hipólito Yrigoyen 3900;Inst. San Francisco de Sales;I San Francisco de Sales;4982-5400;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;5;ALMAGRO;HTAL. DR. C.G. DURAND;103839;101598;-58.4214;-34.6149
1299;20065500;200655;0;Yapeyú 132;;Yapeyú 132;Inst. María Auxiliadora;I María Auxiliadora;4981-7081/5242;IniCom - PriCom - MedCom - SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;5;ALMAGRO;HTAL. DR. C.G. DURAND;103813;101718;-58.4217;-34.6138
306;20055500;200555;0;La Rioja 660;;La Rioja 660;Inst. Hogar de Niños Ramón L. Falcon;I Hogar de Niños R L Falcón;4931-3159;MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;105073;101291;-58.408;-34.6176
1282;20015000;200150;0;Avda. Jujuy 2179;;Avda. Jujuy 2179;Inst. Ntra. Sra. de Luján;I Ntra Sra de Luján;4308-3434 4941-4666;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;4;PARQUE PATRICIOS;HTAL. J.M. PENNA;105877;99298.6;-58.3992;-34.6356
2142;20095700;200957;0;Juncal 2623;;Juncal 2623;Inst. San Tarsicio;I San Tarsicio;4805-9889;MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;1;2;RECOLETA;HTAL. J.A.FERNANDEZ;105496;104349;-58.4034;-34.5901
2026;20261400;202614;0;Humahuaca 3944;;Humahuaca 3944;Escuela Infantil Tiempo de Juego;EI Tiempo de Juego;4862-2249;IniCom;No Corresponde - (RIEA);2;GO Registro de Institutos Educativos Asistenciales;2;5;ALMAGRO;HTAL. DR. C.G. DURAND;103974;103007;-58.42;-34.6022
1276;20060000;200600;0;24 de Noviembre 1665;;24 de Noviembre 1665;Inst. San Vicente de Paul;I San Vicente de Paul;4911-0286;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;4;PARQUE PATRICIOS;HTAL. J.M. PENNA;104893;99838.6;-58.4099;-34.6307
1280;20151800;201518;0;Avda. Jujuy 1241;;Avda. Jujuy 1241;Inst. San Cristobal;I San Cristóbal;4941-2760 4943-4408;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;3;SAN CRISTOBAL;HTAL. DR. J.M. RAMOS MEJÍA;105601;100536;-58.4022;-34.6244
1285;20130400;201304;0;Avda. Chiclana 3659;;Avda. Chiclana 3659;Inst. San Bartolomé;I San Bartolomé;4921-4440;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;5;BOEDO;HTAL. J.M. PENNA;104389;99157.9;-58.4154;-34.6368
1278;20095500;200955;0;24 de Noviembre 900;;24 de Noviembre 900;Inst. Sta. Cruz;I Sta Cruz;4957-3306 4931-8908;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;3;SAN CRISTOBAL;HTAL. DR. J.M. RAMOS MEJÍA;104836;100829;-58.4106;-34.6218
1290;20145300;201453;0;Gral. Urquiza 167;;Gral. Urquiza 167 piso 1°;Inst. Superior de Electrónica Gral. Savio;I Sup de Electrónica Gral Savio;4931-7164;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;104864;101882;-58.4103;-34.6123
1297;20053900;200539;0;Moreno 3363;;Moreno 3363;Esc. Central de Especialidades Paramédicas de la Cruz Roja Argentina;EC Espec Paramédicas Cruz Roja;4863-7227/7739;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;5;ALMAGRO;HTAL. DR. J.M. RAMOS MEJÍA;104535;101678;-58.4139;-34.6141
1284;20089000;200890;0;Alberti 191;;Alberti 191;Inst. Amado Olmos Atsa;I Amado Olmos Atsa;4952-0660/0592;MedAdu - SNUCom - Otras;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;105651;101913;-58.4017;-34.612
1489;20143100;201431;0;Carbajal 3250;;Carbajal 3250;Inst. Sta. Catalina de Belgrano;I Sta Catalina de Belgrano;4552-4353/8572;IniCom - PriCom - MedCom - SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;100245;106387;-58.4606;-34.5717
1536;20053400;200534;0;Virrey del Pino 3511;;Virrey del Pino 3511;Inst. Mekhitarista;I Mekhitarista;4552-3690;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;99844.1;106282;-58.465;-34.5726
1500;20106800;201068;0;Cuba 3302;;Cuba 3302;Inst. de Enseñanza Primaria Gral. San Martin;I E Prim Gral San Martín;4701-0864;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;NUÑEZ;HTAL. DR. PIROVANO;99880.7;108774;-58.4646;-34.5502
1510;20038700;200387;0;Manuela Pedraza 3950;Manuela Pedraza 3978;Manuela Pedraza 3950;Inst. Sta. María de los Angeles;I Sta María de los Angeles;4542-2089 4543-3142;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;12;COGHLAN;HTAL. DR. PIROVANO;98447.7;107762;-58.4802;-34.5593
389;20188000;201880;0;Otamendi 28;;Otamendi 28;Inst. Privado Unión Docentes Argentinos;I Priv UDA;4902-1506/07/08 4904-234;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. C.G. DURAND;102879;101489;-58.4319;-34.6158
1337;20208100;202081;0;Yatay 129;;Yatay 129;Inst. de Formación Profesional Superior;I Formación Profesional Superior;4981-8207/6050;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;5;ALMAGRO;HTAL. DR. C.G. DURAND;103189;101882;-58.4285;-34.6123
1306;20192600;201926;0;Acevedo 262;;Acevedo 262;Escuela Terciaria de Estudios Radiofonicos;E Terc de Estudios Radiofónicos;4857-5701/02;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;101927;103334;-58.4423;-34.5992
1318;20212300;202123;0;Avda. Gaona 2197;;Avda. Gaona 2197;Escuela del Policlinico Bancario 9 de julio;Esc del Policlinico Bancario;4586-8888/13;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;6;CABALLITO;HTAL. DR. T. ALVAREZ;100531;101817;-58.4575;-34.6129
1323;20213500;202135;0;Yerbal 1755;;Yerbal 1755;Inst. Superior de Psicologia Social;I Sup de Psicología Social;4631-3582/9424;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;7;7;FLORES;HTAL. DR. P. PIÑERO;100719;100504;-58.4555;-34.6247
1413;20218000;202180;0;Jorge Luis Borges 1791;;Jorge Luis Borges 1791;Inst. Jardín Amapola;I Jardin Amapola;4831-3914;IniCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;14;PALERMO;HTAL. J.A.FERNANDEZ;103214;104621;-58.4283;-34.5876
1429;20204700;202047;0;Paraguay 5115;;Paraguay 5115;Inst. Modelo de Educación Preescolar;I Modelo Educ Preescolar;4772-1218;IniCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;14;PALERMO;HTAL. J.A.FERNANDEZ;103037;105478;-58.4302;-34.5799
1412;20218500;202185;0;Gurruchaga 568;;Gurruchaga 568;Inst. Villa Soles;I Villa Soles;4854-6364;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;102066;103629;-58.4408;-34.5966
1370;20218700;202187;0;Ciudad de la Paz 394;;Ciudad de la Paz 394;Formación de Ciencias Empresariales;F de Ciencias Empresariales;4553-6351 4701-7898;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;14;PALERMO;HTAL. DR. PIROVANO;101925;106132;-58.4423;-34.574
1382;20223700;202237;0;Avda. Cabildo 1478;;Virrey Arredondo 2416;Inst. Superior Letras Eduardo Mallea;I Sup Letras Eduardo Mallea;4782-2701;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;13;COLEGIALES;HTAL. DR. PIROVANO;101163;106877;-58.4506;-34.5673
1515;20221500;202215;0;Moldes 1825;;Moldes 1825;Colegio de la Ciudad;Col de la Ciudad;5786-5786;MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;100564;106999;-58.4572;-34.5662
1498;20170000;201700;0;Cuba 1754;;Cuba 1754;Inst. Manuel Belgrano;I Manuel Belgrano;4784-0654;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;101034;107212;-58.452;-34.5643
1494;20149900;201499;0;Crámer 2370;;Crámer 2370;Inst. Ntra. Sra. del Sagrado Corazón;I Ntra Sra del Sagrado Corazón;4781-1277;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;99965.3;107420;-58.4637;-34.5624
1506;20151300;201513;0;Juramento 3035;;Juramento 3035;Belgrano Day School;Belgrano Day School;4781-6011;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;100050;107075;-58.4628;-34.5655
1484;20053200;200532;0;Avda. Melián 1880;;Avda. Melián 1880;Buenos Aires English High School;BA English High School;4552-1533/6778;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;99772.5;106505;-58.4658;-34.5706
1491;20000500;200005;0;Ciudad de la Paz 1839;;Ciudad de la Paz 1839;Inst. Ntra. Sra. del Rosario;I Ntra Sra del Rosario;4784-6788;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;BELGRANO;HTAL. DR. PIROVANO;100719;107128;-58.4555;-34.565
