cui;cueanexo;cue;anexo;dom_edific;otras_entr;dom_establ;nombre_est;nomb_abrev;telefono;nivtip;tipest;sector;depfun;de;comunas;barrio;areaprogra;point_x;point_y;longitude;latitude
928;20240200;202402;0;Avda. Lisandro de la Torre 2288;;Avda. Lisandro de la Torre 2288;"Jardín de Infantes Integral N° 07 D.E. 20 ""JII N° 7""";JII 07/20;4686-0248;IniCom;JII (Jardín de Infantes Integral);1;Dir de Educación Inicial;20;9;MATADEROS;HTAL. DR. F. SANTOJANI;96454.1;96504;-58.502;-34.6608
57;20240300;202403;0;Paraguay 1657;;Paraguay 1657;Jardín Maternal N° 06/01 Jardín del Palacio;JM 06/01;4813-5073;IniCom;JM (Jardín Maternal);1;Dir de Educación Inicial;1;2;RECOLETA;HTAL. J.A.FERNANDEZ;106669;103421;-58.3906;-34.5984
506;20240400;202404;0;Crámer 3271;;Crámer 3271;Centro Educativo de Nivel Secundario N° 81;CENS 81;4544-4123;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;10;13;NUÑEZ;HTAL. DR. PIROVANO;99362.5;108314;-58.4702;-34.5543
631;20240500;202405;0;Bragado 5350;;Bragado 5350;Centro Educativo de Nivel Secundario N° 82;CENS 82;;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;13;9;MATADEROS;HTAL. DR. F. SANTOJANI;96877.1;97797;-58.4974;-34.6491
756;20240600;202406;0;Medeyros 3555;;Medeyros 3555;Centro Educativo de Nivel Secundario N° 83;CENS 83;4572-4049;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;16;12;VILLA URQUIZA;HTAL. DR. PIROVANO;96019.5;106657;-58.5067;-34.5693
123;20206300;202063;0;Chile 1626;;Chile 1626;Escuela Infantil N° 02/03° Mane Bernardo;EI 02/03;4381-7261;IniCom;EI (Escuela Infantil);1;Dir de Educación Inicial;3;1;MONTSERRAT;HTAL. DR. J.M. RAMOS MEJÍA;106768;101375;-58.3895;-34.6169
612;20203000;202030;0;San Nicolás 588;;San Nicolás 588;Centro de Formación Profesional N° 25 (sede);CFP 25 (s);4671-0010;Otras;CFP (Centro de Formación Profesional);1;Gerencia Operativa de Educación y Trabajo;12;10;FLORESTA;HTAL. DR. T. ALVAREZ;98383.2;100301;-58.4809;-34.6266
334;20049100;200491;0;Uriburu 876;Estados Unidos 3141;Uriburu 876;Esc. Primaria Común Nº 15 Maestro Jorge Luis Chinetti;EPjc 15;4931-9843;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;6;3;SAN CRISTOBAL;HTAL. DR. J.M. RAMOS MEJÍA;104894;100907;-58.4099;-34.6211
633;20195300;201953;0;Avda. Castañares 4689;Avda. Tte. Gral. Dellepiane 4750;Avda. Castañares 4689;Centro Educativo Complementario de Educación Plástica Nº 13 Martin Malharro;CEC Plástica 13;4601-8010;Otras;Centro Educ. Complementario de Plástica;1;Dir de Educación Primaria;13;8;VILLA LUGANO;HTAL. DR. P. PIÑERO;99195;95984.9;-58.4721;-34.6655
659;20156900;201569;0;Girardot 1946;Girardot s/n;Girardot 1946;Jardín de Infantes Nucleado C (EPCjc 03/14º) [Sede];JIN C (03) (s);4524-2947;IniCom;JIN (Jardín de Infantes Nucleado);1;Dir de Educación Inicial;14;15;VILLA ORTUZAR;HTAL. DR, E. TORNÚ;99262.4;104888;-58.4713;-34.5852
687;20015200;200152;0;Avda. Chorroarín 305;Chorroarin 305;Avda. Chorroarín 305;Esc. de Educacion Media N° 01/14° Federico García Lorca;EEM 01/14;;MedCom;Escuela de Educación Media;1;Dir de Educación Media;14;15;PATERNAL;HTAL. DR, E. TORNÚ;98766.9;103815;-58.4767;-34.5949
766;20227500;202275;0;José Cubas 2410;Zamudio 4386;Zamudio 4386;Esc. de Educacion Media N° 02/16°;EEM 02/16;4594-4548;MedCom;Escuela de Educación Media;1;Dir de Educación Media;16;12;VILLA PUEYRREDON;HTAL. DR. A. ZUBIZARRETA;97110.4;104867;-58.4948;-34.5854
612;20159800;201598;0;San Nicolás 588;;San Nicolás 588;Centro Educativo de Nivel Primario - Sede Supervisión;CENP ACENP;4672-2684;PriAdu;CENP (Centro Educativo de Nivel Primario);1;Dir de Educación del Adulto y del Adolescente;12;10;FLORESTA;HTAL. DR. T. ALVAREZ;98383.2;100301;-58.4809;-34.6266
2135;20184500;201845;0;Juan Manuel Blanes s/n y Palos 210;Palos y Villafañe;Palos 210 y Villafañe;Centro de Alfabetización, Educación Básica y Trabajo;CAEByT;4300-7915;PriAdu;PAEByT (Prog de Alfabetización, Educ Básica y Trabajo para Jóvenes y Adultos);1;Dir de Educación del Adulto y del Adolescente;4;4;BOCA;HTAL. DR. C. ARGERICH;109115;99595;-58.3639;-34.6329
863;20184518;201845;18;Martínez Castro 3061;;Martínez Castro 3061;Centro de Alfabetización, Educación Básica y Trabajo N° 16;CAEByT 16;;PriAdu;PAEByT (Prog de Alfabetización, Educ Básica y Trabajo para Jóvenes y Adultos);1;Dir de Educación del Adulto y del Adolescente;19;8;VILLA SOLDATI;HTAL. DR. P. PIÑERO;101314;96332.8;-58.449;-34.6623
1860;20184543;201845;43;Estados Unidos 2957;;Estados Unidos 2957;Centro de Alfabetización, Educación Básica y Trabajo N° 67 Caminos Abiertos;CAEByT 67;;PriAdu;PAEByT (Prog de Alfabetización, Educ Básica y Trabajo para Jóvenes y Adultos);1;Dir de Educación del Adulto y del Adolescente;6;3;SAN CRISTOBAL;HTAL. DR. J.M. RAMOS MEJÍA;105173;100966;-58.4069;-34.6206
896;20184503;201845;3;Varela y Avda. Perito Moreno, Manzana 13, Casa 40, Villa 1-11-14;;Varela y Avda. Perito Moreno, Manzana 13, Casa 40, Villa 1-11-14;Centro de Alfabetización, Educación Básica y Trabajo N° 32 Madre del Pueblo;CAEByT 32;;PriAdu;PAEByT (Prog de Alfabetización, Educ Básica y Trabajo para Jóvenes y Adultos);1;Dir de Educación del Adulto y del Adolescente;19;7;FLORES;HTAL. DR. P. PIÑERO;101459;97876.1;-58.4474;-34.6484
8;20201000;202010;0;Talcahuano 680;Viamonte 1314;Talcahuano 680;Centro Educativo Cursos Especiales - Supervisión Cursos Especiales;CECE Sup .Cursos Especiales;4372-7201;Otras;CECE (Centro Educativo Cursos Especiales);1;Dir de Educación del Adulto y del Adolescente;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107139;103161;-58.3855;-34.6007
110;20202800;202028;0;Avda. Díaz Vélez 4093;;Avda. Díaz Vélez 4093;Centro de Formación Profesional N° 29 - Asociación de Educadores Porteños;CFP 29 AEP;4982-3961/4981-1131;SNUCom - Otras;CFP (Centro de Formación Profesional);1;Gerencia Operativa de Educación y Trabajo;2;5;ALMAGRO;HTAL. DR. C.G. DURAND;103560;102306;-58.4245;-34.6085
846;20239900;202399;0;Tilcara 2856;;Tilcara 2856;Centro Educativo de Nivel Secundario N° 84;CENS 84;4918-3640;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;19;4;NUEVA POMPEYA;HTAL. J.M. PENNA;103787;97830.7;-58.422;-34.6488
435;20240800;202408;0;Puán 480;;Puán 470;Centro Educativo de Nivel Secundario N° 79;CENS 79;4432-0606;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;8;6;CABALLITO;HTAL. DR. P. PIÑERO;101536;100106;-58.4465;-34.6283
1841;20117300;201173;0;Gallo 238;;Gallo 238;Conservatorio de Música Manuel de Falla;C de Música M de Falla;4371-8786/5898;SNUArt - Otras;No Corresponde - Cultura;1;Cultura (GCBA);2;5;ALMAGRO;HTAL. DR. J.M. RAMOS MEJÍA;104550;102598;-58.4137;-34.6058
668;20160806;201608;6;Juan Agustín García 1511;;Juan Agustín García 1511;Jardín de Infantes Nucleado A (EPCjc 15/14°);JIN A (15);;IniCom;JIN (Jardín de Infantes Nucleado);1;Dir de Educación Inicial;14;15;PATERNAL;HTAL. DR. T. ALVAREZ;99781.3;103048;-58.4657;-34.6018
2177;20187700;201877;0;Monasterio 480;Avda. Amancio Alcorta 2195;Avda. Amancio Alcorta 2195;Instituto Superior de Tecnicaturas para la Salud;I Sup Tecnicaturas p/Salud;4807-3341;SNUCom;No Corresponde (Salud);1;Salud (GCBA);5;4;PARQUE PATRICIOS;HTAL. J.M. PENNA;106397;98685.8;-58.3935;-34.6411
167;20195800;201958;0;Avda. Juan de Garay 1684;;Avda. Juan de Garay 1684;Inst. Vocacional de Arte;I Vocacional de Arte;4304-4943;Otras;No Corresponde - Cultura;1;Cultura (GCBA);3;1;CONSTITUCION;HTAL. J.M. PENNA;106801;100210;-58.3891;-34.6274
654;20195801;201958;1;Pío Collivadino 470;;Pío Collivadino 470;Inst. Vocacional de Arte;I Vocacional de Arte;4671-2911;IniCom - Otras;No Corresponde - Cultura;1;Cultura (GCBA);13;9;PARQUE AVELLANEDA;HTAL. DR. P. PIÑERO;98153.3;98762.4;-58.4834;-34.6404
437;20195802;201958;2;Avda. Curapaligüe 1026;;Avda. Curapaligüe 1026;Inst. Vocacional de Arte;I Vocacional de Arte;4925-6351;IniCom - Otras;No Corresponde - Cultura;1;Cultura (GCBA);8;7;PARQUE CHACABUCO;HTAL. DR. P. PIÑERO;101503;99350.6;-58.4469;-34.6351
560;20196900;201969;0;Varela 753;;Varela 753;CENOF Centro Varela - Esc. Primaria 12/11°;CENOF Varela;4611-1152;Otras;CENOF (Centro de Educación No Formal);1;Gerencia Operativa de Educación y Trabajo;11;7;FLORES;HTAL. DR. P. PIÑERO;100286;99009.8;-58.4602;-34.6382
14;20197100;201971;0;Juncal 3131;Juncal 3185;Juncal 3131;CENOF Centro Juncal - Esc. Primaria 16/01°;CENOF Juncal;4804-2411;Otras;CENOF (Centro de Educación No Formal);1;Gerencia Operativa de Educación y Trabajo;1;14;PALERMO;HTAL. J.A.FERNANDEZ;105002;104837;-58.4088;-34.5857
303;20203100;202031;0;Agrelo 3231;;Agrelo 3231;"CENOF D.E. 06 ""Centro Municipal del Tango"" - Esc. Primaria 12/06°";CENOF Centro Muni del Tango;4957-1382;Otras;CENOF (Centro de Educación No Formal);1;Gerencia Operativa de Educación y Trabajo;6;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;104746;101271;-58.4116;-34.6178
2394;20203300;202033;0;Los Patos 3080;;Los Patos 3080;Ciclo Básico de Formación Ocupacional N° 01 Evita;CBO 01;4931-0182;Otras;CBO (Centro Básico de Formación Ocupacional);1;Dir de Educación Media;5;4;PARQUE PATRICIOS;HTAL. J.M. PENNA;105258;98645.4;-58.406;-34.6415
1841;20203600;202036;0;Gallo 238;Sarmiento 3401;Sarmiento 3401;Conservatorio de Música de la Ciudad de Buenos Aires;C de Música de la CBA;4829-9068;MedArt - SNUArt - Otras;No Corresponde - Cultura;1;Cultura (GCBA);2;5;ALMAGRO;HTAL. DR. J.M. RAMOS MEJÍA;104550;102598;-58.4137;-34.6058
199;20236310;202363;10;Bolívar 1235;Bolívar 1251;Bolívar 1235;Centro de Actividades Infantiles y Juveniles Club San Telmo;CAIyJ San Telmo;4361-8965;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;4;1;SAN TELMO;HTAL. DR. C. ARGERICH;108290;100765;-58.3729;-34.6223
19;20236302;202363;2;Letonia (ex Paseo Estados Unidos del Brasil) y Avda. Antártida Argentina;Avda. Antártida Argentina s/n;Letonia (ex Paseo EEUU del Brasil) y Avda. Antártida Argentina;Centro de Actividades Infantiles y Juveniles Club Retiro;CAIyJ Retiro;;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;1;1;RETIRO;HTAL. J.A.FERNANDEZ;108506;104571;-58.3706;-34.588
262;20236307;202363;7;Zavaleta 204;Uspallata 2898 - Los Patos;Zavaleta 204;Centro de Actividades Infantiles y Juveniles Club Parque Patricios;CAIyJ Parque Patricios;4912-3792;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;5;4;PARQUE PATRICIOS;HTAL. J.M. PENNA;105525;98885.6;-58.403;-34.6393
1;20116000;201160;0;Ayacucho 1680;Vicente Lopez 1910/1940 - Ayacucho 1670;Ayacucho 1680;Esc. Primaria Común N° 01 Juan José Castelli;EPjc 01;4803-9149/63;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;2;RECOLETA;HTAL. J.A.FERNANDEZ;106519;104333;-58.3922;-34.5902
1;20184700;201847;0;Ayacucho 1680;Vicente Lopez 1910/1940 - Ayacucho 1670;Ayacucho 1680;UGEE N°01 Unidad de Gestion Educativa Experimental Nº 01;UGEE 01;4803-9163/9149;MedAdu;UGEE (Unidad de Gestión Educativa Experimental);1;Dir de Educación del Adulto y del Adolescente;1;2;RECOLETA;HTAL. J.A.FERNANDEZ;106519;104333;-58.3922;-34.5902
2;20113200;201132;0;Avda. Pte. Manuel Quintana 31;Avda. Pte. Manuel Quintana 7/35;Avda. Pte. Manuel Quintana 7;Jardín de Infantes Común Nº 04/01º Cinco Esquinas;JIC 04/01;4812-0863;IniCom;JIC (Jardín de Infantes Común);1;Dir de Educación Inicial;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107197;104102;-58.3848;-34.5923
2;20113300;201133;0;Avda. Pte. Manuel Quintana 31;Avda. Pte. Manuel Quintana 7/35;Avda. Pte. Manuel Quintana 31/07;Esc. Primaria Común N° 02 Domingo Faustino Sarmiento;EPjs 02;4811-2795;PriCom;Escuela Primaria Común de Jornada Simple;1;Dir de Educación Primaria;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107197;104102;-58.3848;-34.5923
2;20084415;200844;15;Avda. Pte. Manuel Quintana 31;Avda. Pte. Manuel Quintana 7/35;Avda. Pte. Manuel Quintana 31;Curso Vocacional de Danza y Expresión Corporal Infantil Nº 04;CV Dan Inf 04;4811-2795;Otras;Escuela de Danzas;1;Dir de Educación Artística;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107197;104102;-58.3848;-34.5923
2;20076404;200764;4;Avda. Pte. Manuel Quintana 31;Avda. Pte. Manuel Quintana 7/35;Avda. Pte. Manuel Quintana 31;Curso Vocacional de Folklore Nº 04;CV Folk 04;4811-2795;Otras;Escuela de Danzas;1;Dir de Educación Artística;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107197;104102;-58.3848;-34.5923
3;20116100;201161;0;Avda. Santa Fe 1510;Parana 1069;Avda. Santa Fe 1510;Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón;EPjc 03;4811-9814;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;2;RECOLETA;HTAL. J.A.FERNANDEZ;106853;103693;-58.3886;-34.596
3;20039300;200393;0;Avda. Santa Fe 1510;Parana 1069;Avda. Santa Fe 1510;Esc. Primaria p/Adultos Nº 03 Dr. Onesimo Leguizamon (sede);EPA 03 (s);4811-9814 4313-3224;PriAdu - Otras;Escuela Primaria para Adultos;1;Dir de Educación del Adulto y del Adolescente;1;2;RECOLETA;HTAL. J.A.FERNANDEZ;106853;103693;-58.3886;-34.596
4;20112200;201122;0;Reconquista 461;;Reconquista 461;Esc. Primaria Común N° 04 De Catedral al Norte José Manuel Estrada;EPjc 04;4312-0918;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;1;SAN NICOLAS;HTAL. DR. C. ARGERICH;108338;102974;-58.3724;-34.6024
4;20096500;200965;0;Reconquista 461;;Reconquista 461;Centro Educativo de Nivel Secundario N° 08;CENS 08;4312-0918;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;1;1;SAN NICOLAS;HTAL. DR. C. ARGERICH;108338;102974;-58.3724;-34.6024
5;20024900;200249;0;Rodríguez Peña 747;Rodríguez Peña S/N;Rodríguez Peña 747;Jardín de Infantes Nucleado A (EPCjs 05/01º) [Sede];JIN A (05) (s);4813-2547;IniCom;JIN (Jardín de Infantes Nucleado);1;Dir de Educación Inicial;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;106605;103200;-58.3913;-34.6004
5;20025100;200251;0;Rodríguez Peña 747;Rodríguez Peña S/N;Rodríguez Peña 747;Esc. Primaria Común N° 05 Nicolás Rodríguez Peña;EPjs 05;4811-9190;PriCom;Escuela Primaria Común de Jornada Simple;1;Dir de Educación Primaria;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;106605;103200;-58.3913;-34.6004
764;20076412;200764;12;Avda. Lincoln 4325;;Avda. Lincoln 4325;Curso Vocacional de Folklore Nº 15;CV Folk 15;4501-9217;Otras;Escuela de Danzas;1;Dir de Educación Artística;16;11;VILLA DEVOTO;HTAL. DR. A. ZUBIZARRETA;95201.4;103372;-58.5156;-34.5989
5;20178700;201787;0;Rodríguez Peña 747;Rodríguez Peña S/N;Rodríguez Peña 747;Instituto de Formación Técnica Superior Nº 05;IFTS 05;4813-2547 Fax 4811-9190;SNUCom;IFTS (Instituto de Formación Técnica Superior);1;Dir de Formación Técnica Superior;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;106605;103200;-58.3913;-34.6004
6;20079000;200790;0;Basavilbaso 1295;Basavilbaso 1267 - Juncal 690;Juncal 690;Jardín de Infantes Integral Nº 02/01º;JII 02/01;4311-3937;IniCom;JII (Jardín de Infantes Integral);1;Dir de Educación Inicial;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107915;104016;-58.377;-34.593
6;20012100;200121;0;Basavilbaso 1295;Basavilbaso 1267 - Juncal 690;Basavilbaso 1295;Esc. Primaria Común N° 06 French y Beruti;EPjc 06;4313-3224;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107915;104016;-58.377;-34.593
6;20166300;201663;0;Basavilbaso 1295;Basavilbaso 1267 - Juncal 690;Juncal 690;Esc. Primaria p/Adultos Nº 06 French y Beruti;EPA 06;4313-3224;PriAdu - Otras;Escuela Primaria para Adultos;1;Dir de Educación del Adulto y del Adolescente;1;1;RETIRO;HTAL. J.A.FERNANDEZ;107915;104016;-58.377;-34.593
7;20024901;200249;1;Libertad 581;Tucuman S/N;Libertad 581;Jardín de Infantes Nucleado A (EPCjs 07/01º);JIN A (07);4382-2488/4382-0808;IniCom;JIN (Jardín de Infantes Nucleado);1;Dir de Educación Inicial;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107298;103058;-58.3837;-34.6017
7;20115200;201152;0;Libertad 581;Tucuman S/N;Libertad 581;Esc. Primaria Común N° 07 Presidente Roca;EPjc 07;4382-2488;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107298;103058;-58.3837;-34.6017
7;20109900;201099;0;Libertad 581;Tucuman S/N;Libertad 581;Esc. Primaria p/Adultos Nº 07 Presidente Roca;EPA 07;4382-2488;PriAdu - Otras;Escuela Primaria para Adultos;1;Dir de Educación del Adulto y del Adolescente;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107298;103058;-58.3837;-34.6017
8;20024902;200249;2;Talcahuano 680;Viamonte 1314;Talcahuano 680;Jardín de Infantes Nucleado A (EPCjc 08/01º);JIN A (08);4371-9336/5748;IniCom;JIN (Jardín de Infantes Nucleado);1;Dir de Educación Inicial;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107139;103161;-58.3855;-34.6007
8;20025000;200250;0;Talcahuano 680;Viamonte 1314;Talcahuano 680;Esc. Primaria Común Nº 08 Nicolas Avellaneda;EPjc 08;4371-9336/5748;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107139;103161;-58.3855;-34.6007
8;20110000;201100;0;Talcahuano 680;Viamonte 1314;Talcahuano 680;Esc. Primaria p/Adultos Nº 08 Nicolas Avellaneda;EPA 08;4371-9336/5748;PriAdu - Otras;Escuela Primaria para Adultos;1;Dir de Educación del Adulto y del Adolescente;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107139;103161;-58.3855;-34.6007
8;20043100;200431;0;Talcahuano 680;Viamonte 1314;Talcahuano 680;Centro Educativo de Nivel Secundario N° 03;CENS 03;4371-9336;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107139;103161;-58.3855;-34.6007
9;20024903;200249;3;Tte. Gral. Juan Domingo Perón 1140;Pte. Peron 1136;Tte. Gral. Juan Domingo Perón 1140;Jardín de Infantes Nucleado A (EPCjc 09/01º);JIN A (09);4381-1891;IniCom;JIN (Jardín de Infantes Nucleado);1;Dir de Educación Inicial;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107400;102549;-58.3826;-34.6063
9;20086900;200869;0;Tte. Gral. Juan Domingo Perón 1140;Pte. Peron 1136;Tte. Gral. Juan Domingo Perón 1140;Esc. Primaria Común Nº 09 Familia de Cabezon;EPjc 09;4381-1891;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107400;102549;-58.3826;-34.6063
9;20162200;201622;0;Tte. Gral. Juan Domingo Perón 1140;Pte. Peron 1136;Tte. Gral. Juan Domingo Perón 1140;Centro Educativo de Nivel Secundario N° 26;CENS 26;4381-1891;MedAdu;CENS (Centro Educativo de Nivel Secundario);1;Dir de Educación del Adulto y del Adolescente;1;1;SAN NICOLAS;HTAL. DR. J.M. RAMOS MEJÍA;107400;102549;-58.3826;-34.6063
10;20058001;200580;1;Lavalle 2366;Lavalle 2374;Lavalle 2366;Jardín de Infantes Nucleado B (EPCjc 10/01º);JIN B (10);4952-9700/4952-7059;IniCom;JIN (Jardín de Infantes Nucleado);1;Dir de Educación Inicial;1;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;105771;102850;-58.4004;-34.6036
10;20064400;200644;0;Lavalle 2366;Lavalle 2374;Lavalle 2366;Esc. Primaria Común Nº 10 Presidente Manuel Quintana;EPjc 10;4952-9700;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;105771;102850;-58.4004;-34.6036
10;20142400;201424;0;Lavalle 2366;Lavalle 2374;Lavalle 2366;Esc. Primaria p/Adultos Nº 10 Presidente Manuel Quintana;EPA 10;4952-9700;PriAdu - Otras;Escuela Primaria para Adultos;1;Dir de Educación del Adulto y del Adolescente;1;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;105771;102850;-58.4004;-34.6036
11;20070900;200709;0;Julián Alvarez 2849;;Julián Alvarez 2849;Jardín de Infantes Integral Nº 01/01º;JII 01/01;4822-9110;IniCom;JII (Jardín de Infantes Integral);1;Dir de Educación Inicial;1;14;PALERMO;HTAL. J.A.FERNANDEZ;104785;104981;-58.4111;-34.5844
11;20071000;200710;0;Julián Alvarez 2849;;Julián Alvarez 2849;Esc. Primaria Común Nº 12 Gral. Las Heras;EPjc 12;4824-7598;PriCom;Escuela Primaria Común de Jornada Completa;1;Dir de Educación Primaria;1;14;PALERMO;HTAL. J.A.FERNANDEZ;104785;104981;-58.4111;-34.5844
